speaker,utterance
MA,hello: ↗
SON,hello ma ↗
MA,yea:h mazel tov →
SON,mazel tov →
MA,"⌈last night, was the Vort⌉ →"
SON,⌊[UNINTELLIGIBLE]⌋→ ⌈x⌉→
MA,⌊so we⌋dnesday night is the +/.
SON,[UNINTELLIGIBLE]→
MA,you could come i:n ↗
SON,"hhh I have a [/] I have to speak to Tatie, because I have a ride hhh a:⌈nd he⌉ told me that→"
MA,⌊uh huh⌋→
SON,we'll pass by Monroe we could pick up ⌈Esther⌉ →
MA,"⌊ [CLICK⌋] → ⌈oka:y, one second⌉→"
SON,⌊so that's what I'm going to ask him⌋→
MA,<ephraim> [% high pitch] ↗
EPH,yea:h [!]
MA,I can't hea:r→
EPH,oh →
MA,[UNINTELLIGIBLE] →
EPH,"+≈ hello, (Natanel)↗"
SON,+≈ yeah ↗
EPH,"+≈ mazel tov, mazel tov→"
SON,⌈mazel tov⌉ .
EPH,⌊[UNINTELLIGIBLE]⌋ [!]
SON,yeah that's true → +≈ wha::↗
EPH,+≈ a [LAUGH→] +≈ his name is Yoseph hh [!] shalom Aleichem→
SON,⌈wha::⌉ ↗
EPH,"⌊mazel tov, mazel tov⌋→"
SON,+≈ mazel tov→
EPH,"+≈ alright, coming for the Vort ↗"
SON,"+≈ ya, im yirtse Hashem →"
EPH,"+≈ im yirtse Hashem alright, I'll see you later who you <staying by"
SON,+≈ wha::↗
EPH,+≈ who you staying by in Lakewood ↗
SON,+≈ lakewood I'm not in Lakewood →
EPH,"+≈ oh, ya→"
SON,⌈camp⌉→
EPH,+≈ in the ⌊camp⌋ yeshiva [UNINTELLIGIBLE]→ (0.500) alright→ I'll see you later→ I'll speak to you then→
SON,+≈ ya →
EPH,+≈ don't forget your hat → (1.) going in with Yoel↗
SON,+≈ ya::↗
EPH,+≈ what's happening Mazel ⌈tov⌉→
SON,⌊mazel tov⌋ .
EPH,+≈ how's everything↗
SON,+≈ barux_ha⌈shem@s ⌉→
EPH,"⌊You⌋ said I [/] I remember you telling me when to call you You ih: I was ready to call you, and you then ◉called◉ ."
SON,"+≈ wha:, I knew you're probably getting ready so you're home→"
EPH,+≈ ya: ih: ya (0.480) what's doing ↗
SON,+≈ baruch_hashem@s →
EPH,+≈ how's everything there in camp↗
SON,+≈ great →
EPH,+≈ are you learning ↗
SON,+≈ good→
EPH,+≈ learning <good> [!] ↗
SON,+≈ ya→
EPH,+≈ you get any of my ◉letters◉ ↗
SON,+≈ wha:↗
EPH,+≈ you get my ◉suntan lotion◉ ↗
SON,+≈ no→
